country,code,continent,population,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,diabetes_prevalence
Taiwan,TWN,Asia,23420107.0,,,,,93.50615,88.783066,108.73844,29.85567518248175,42.91699981689453,,,80.15689849853516,
Tajikistan,TJK,Asia,10182228.0,17786.0,1746.7689,125.0,12.276292,52.329185,50.99001,52.27241,27.879781021897813,21.742000579833984,4755.93310546875,4.039999961853027,71.5624008178711,8.0
Tanzania,TZA,Africa,64711822.0,43655.0,674.60626,846.0,13.073345,53.212738,49.706203,11.081998,14.956158759124088,17.124000549316406,3713.262939453125,0.8399999737739563,66.87860107421875,9.800000190734863
Thailand,THA,Asia,71735321.0,5428267.0,75670.77,34999.0,487.89075,79.46643,74.56032,44.808372,42.96381386861314,39.19400024414063,21740.541015625,2.390000104904175,75.29129791259766,10.199999809265137
Togo,TGO,Africa,8068616.0,39564.0,4903.4434,290.0,35.941727,27.954967,19.260626,5.302074,43.53297445255475,18.113000869750977,2960.775390625,0.3300000131130218,62.289798736572266,4.800000190734863
Tokelau,TKL,Oceania,2312.0,80.0,34602.074,0.0,0.0,95.28547,95.28547,41.86851,,26.55500030517578,,,76.88700103759766,
Tonga,TON,Oceania,105053.0,16992.0,161746.92,13.0,123.74706,83.1723,73.66758,36.731934,45.605291970802924,20.72599983215332,7030.4189453125,,72.63529968261719,19.600000381469727
Transnistria,OWID_TRS,Europe,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,North America,1495923.0,191496.0,128011.94,4390.0,2934.643,50.430336,48.061897,11.6875,52.13927919708029,36.22600173950195,31960.15625,2.369999885559082,73.33080291748047,12.399999618530272
Tunisia,TUN,Africa,12119338.0,1153361.0,95167.0,29423.0,2427.773,73.41035,52.823357,10.384866,49.36921532846715,31.74399948120117,12774.916015625,1.8200000524520876,76.05049896240234,16.0
